date,ticker,open,high,low,close,volume,ma_20,ma_50,rsi_14,bb_upper,bb_lower,bb_mid,pct_return,cumulative_return,indexed_price,volume_zscore,volume_spike,drawdown_pct,volatility_30d
2024-08-16,LTRN,4.239999771118164,4.340000152587891,4.0320000648498535,4.230000019073486,17800,4.1772,,43.01,4.8949,3.4596,4.1772,-1.3986,-9.8081,90.1919,-1.0114,False,-12.4224,5.2982
2024-08-19,LTRN,4.230000019073486,4.449999809265137,4.03000020980835,4.449999809265137,41700,4.1687,,50.0,4.8681,3.4694,4.1687,5.2009,-5.1173,94.8827,-0.3871,False,-7.8675,5.2045
2024-08-20,LTRN,4.46999979019165,4.589000225067139,4.400000095367432,4.400000095367432,22800,4.1507,,53.88,4.803,3.4985,4.1507,-1.1236,-6.1834,93.8166,-0.8196,False,-8.9027,5.1335
2024-08-21,LTRN,4.5,4.59499979019165,4.295000076293945,4.440000057220459,32600,4.1517,,57.66,4.8058,3.4977,4.1517,0.9091,-5.3305,94.6695,-0.5485,False,-8.0745,5.0861
2024-08-22,LTRN,4.440000057220459,4.46999979019165,4.179999828338623,4.21999979019165,17100,4.1357,,60.08,4.765,3.5065,4.1357,-4.955,-10.0213,89.9787,-0.8689,False,-12.6294,5.1704
2024-08-23,LTRN,4.090000152587891,4.769999980926514,4.090000152587891,4.650000095367432,137400,4.1392,,71.81,4.7795,3.499,4.1392,10.1896,-0.8529,99.1471,1.893,False,-3.7267,5.412
2024-08-26,LTRN,4.650000095367432,4.794000148773193,4.389999866485596,4.650000095367432,82100,4.1412,,71.03,4.788,3.4945,4.1412,0.0,-0.8529,99.1471,0.5902,False,-3.7267,5.4006
2024-08-27,LTRN,4.599999904632568,4.650000095367432,4.309999942779541,4.329999923706055,30700,4.1352,,56.25,4.772,3.4985,4.1352,-6.8817,-7.6759,92.3241,-0.5467,False,-10.352,5.5249
2024-08-28,LTRN,4.329999923706055,4.349999904632568,4.0,4.159999847412109,39400,4.1332,4.2957,48.52,4.7694,3.4971,4.1332,-3.9261,-11.3006,88.6994,-0.3175,False,-13.8716,5.3916
2024-08-29,LTRN,4.110000133514404,4.190000057220459,3.990000009536743,4.039999961853027,17300,4.1322,4.2827,53.12,4.769,3.4955,4.1322,-2.8846,-13.8593,86.1407,-0.8068,False,-16.3561,5.2566
2024-08-30,LTRN,4.070000171661377,4.110000133514404,3.920000076293945,4.090000152587891,26100,4.1497,4.2757,55.3,4.7598,3.5397,4.1497,1.2376,-12.7932,87.2068,-0.61,False,-15.3209,5.2566
2024-09-03,LTRN,4.210000038146973,4.210000038146973,3.430000066757202,3.660000085830689,102200,4.1567,4.2659,43.78,4.7389,3.5746,4.1567,-10.5134,-21.9616,78.0384,1.1308,False,-24.2236,5.5017
2024-09-04,LTRN,3.700000047683716,3.920000076293945,3.5199999809265137,3.609999895095825,31900,4.1577,4.2599,43.43,4.7359,3.5796,4.1577,-1.3661,-23.0277,76.9723,-0.5144,False,-25.2588,5.4592
2024-09-05,LTRN,3.609999895095825,3.809999942779541,3.450000047683716,3.5,19400,4.1312,4.2497,32.6,4.7785,3.484,4.1312,-3.0471,-25.3731,74.6269,-0.8003,False,-27.5362,5.3445
2024-09-06,LTRN,3.5,3.5899999141693115,3.25,3.4200000762939453,92500,4.0907,4.2327,32.31,4.8094,3.3721,4.0907,-2.2857,-27.0789,72.9211,0.8458,False,-29.1925,5.3142
2024-09-09,LTRN,3.5299999713897705,3.640000104904175,3.384999990463257,3.5,19400,4.0705,4.2119,27.91,4.8327,3.3083,4.0705,2.3392,-25.3731,74.6269,-0.8579,False,-27.5362,5.3368
2024-09-10,LTRN,3.490000009536743,3.490000009536743,3.26200008392334,3.3499999046325684,31000,4.045,4.1855,26.67,4.8685,3.2215,4.045,-4.2857,-28.5714,71.4286,-0.6086,False,-30.6418,5.3679
2024-09-11,LTRN,3.440000057220459,3.829999923706055,3.374000072479248,3.7200000286102295,59600,4.0325,4.1695,36.05,4.8683,3.1967,4.0325,11.0448,-20.6823,79.3177,0.0359,False,-22.9814,5.7693
2024-09-12,LTRN,3.859999895095825,4.0,3.640000104904175,3.7899999618530273,64400,4.025,4.1573,41.15,4.867,3.183,4.025,1.8817,-19.1898,80.8102,0.1475,False,-21.5321,5.6991
2024-09-13,LTRN,3.799999952316284,4.099999904632568,3.559999942779541,4.019999980926514,75400,4.0115,4.1519,35.87,4.8442,3.1788,4.0115,6.0686,-14.2857,85.7143,0.3807,False,-16.7702,5.7781
2024-09-16,LTRN,3.940000057220459,4.090000152587891,3.75,3.759999990463257,56000,3.988,4.1395,32.13,4.8212,3.1548,3.988,-6.4677,-19.8294,80.1706,-0.0917,False,-22.1532,5.716
2024-09-17,LTRN,3.849999904632568,4.050000190734863,3.808000087738037,3.809999942779541,14600,3.956,4.1343,38.29,4.7633,3.1487,3.956,1.3298,-18.7633,81.2367,-1.0672,False,-21.118,5.603
2024-09-18,LTRN,3.839999914169312,4.142000198364258,3.7699999809265137,3.910000085830689,37200,3.9315,4.1269,44.19,4.7113,3.1517,3.9315,2.6247,-16.6311,83.3689,-0.474,False,-19.0476,5.6104
2024-09-19,LTRN,3.7799999713897705,4.388999938964844,3.7799999713897705,4.070000171661377,56400,3.913,4.1257,50.68,4.6589,3.1671,3.913,4.0921,-13.2196,86.7804,0.0745,False,-15.735,5.2002
2024-09-20,LTRN,3.9800000190734863,4.370999813079834,3.9800000190734863,3.990000009536743,52300,3.9015,4.1215,47.75,4.6344,3.1686,3.9015,-1.9656,-14.9254,85.0746,0.0603,False,-17.3913,5.1331
2024-09-23,LTRN,4.099999904632568,4.25,3.869999885559082,3.950000047683716,47800,3.8665,4.1121,57.92,4.5103,3.2227,3.8665,-1.0025,-15.7783,84.2217,-0.0348,False,-18.2195,4.9324
2024-09-24,LTRN,3.9600000381469727,4.090000152587891,3.930999994277954,4.039999961853027,30400,3.836,4.1059,61.5,4.3724,3.2996,3.836,2.2785,-13.8593,86.1407,-0.5488,False,-16.3561,4.9408
2024-09-25,LTRN,3.990000009536743,4.139999866485596,3.910000085830689,3.920000076293945,30300,3.8155,4.0943,61.17,4.3014,3.3296,3.8155,-2.9703,-16.4179,83.5821,-0.5233,False,-18.8406,4.9502
2024-09-26,LTRN,4.0,4.13100004196167,3.7799999713897705,3.839999914169312,44700,3.7995,4.0745,61.17,4.2579,3.3411,3.7995,-2.0408,-18.1237,81.8763,-0.0822,False,-20.4969,4.9632
2024-09-27,LTRN,3.839999914169312,3.940000057220459,3.7200000286102295,3.775000095367432,52800,3.7863,4.0604,57.37,4.2305,3.342,3.7863,-1.6927,-19.5096,80.4904,0.2329,False,-21.8426,4.6804
2024-09-30,LTRN,3.740000009536743,3.890000104904175,3.549000024795532,3.670000076293945,31200,3.7653,4.0456,58.79,4.1882,3.3423,3.7653,-2.7815,-21.7484,78.2516,-0.5414,False,-24.0166,4.6981
2024-10-01,LTRN,3.75,3.829999923706055,3.549999952316284,3.759999990463257,42400,3.7703,4.0284,51.3,4.1903,3.3502,3.7703,2.4523,-19.8294,80.1706,-0.1474,False,-22.1532,4.6118
2024-10-02,LTRN,3.7200000286102295,3.849999904632568,3.609999895095825,3.7100000381469727,20900,3.7753,4.0074,47.37,4.1896,3.3609,3.7753,-1.3298,-20.8955,79.1045,-0.9014,False,-23.1884,4.613
2024-10-03,LTRN,3.700000047683716,3.890000104904175,3.5199999809265137,3.5999999046325684,28400,3.7803,3.991,35.0,4.1829,3.3776,3.7803,-2.965,-23.2409,76.7591,-0.6307,False,-25.4658,4.6274
2024-10-04,LTRN,3.5999999046325684,3.8429999351501465,3.549999952316284,3.7699999809265137,23800,3.7978,3.9756,50.38,4.1632,3.4323,3.7978,4.7222,-19.6162,80.3838,-0.806,False,-21.9462,4.6502
2024-10-07,LTRN,3.7200000286102295,3.869999885559082,3.630000114440918,3.7300000190734863,12200,3.8093,3.9586,46.92,4.1488,3.4697,3.8093,-1.061,-20.4691,79.5309,-1.3022,False,-22.7743,4.2103
2024-10-08,LTRN,3.650000095367432,3.859999895095825,3.640000104904175,3.690000057220459,25900,3.8263,3.9402,41.13,4.0958,3.5567,3.8263,-1.0724,-21.322,78.678,-0.6618,False,-23.6025,4.2092
2024-10-09,LTRN,3.680000066757202,3.7909998893737793,3.490000009536743,3.5299999713897705,45100,3.8168,3.9218,28.23,4.114,3.5195,3.8168,-4.336,-24.7335,75.2665,0.1842,False,-26.9151,4.1042
2024-10-10,LTRN,3.470000028610229,3.5899999141693115,3.299999952316284,3.390000104904175,55800,3.7968,3.9056,26.92,4.1501,3.4434,3.7968,-3.966,-27.7185,72.2815,0.6394,False,-29.8137,4.1053
2024-10-11,LTRN,3.390000104904175,3.607000112533569,3.390000104904175,3.4800000190734863,24500,3.7698,3.894,32.59,4.1337,3.4058,3.7698,2.6549,-25.7996,74.2004,-0.7871,False,-27.9503,4.1235
2024-10-14,LTRN,3.619999885559082,3.634999990463257,3.4820001125335693,3.549999952316284,21400,3.7593,3.8902,31.58,4.1363,3.3822,3.7593,2.0115,-24.307,75.693,-0.9154,False,-26.501,4.1366
2024-10-15,LTRN,3.5,3.5999999046325684,3.4200000762939453,3.539999961853028,66400,3.7458,3.8906,34.43,4.1343,3.3572,3.7458,-0.2817,-24.5203,75.4797,1.3245,False,-26.7081,3.6683
2024-10-16,LTRN,3.549999952316284,3.569999933242798,3.4200000762939453,3.5,27900,3.7253,3.8888,35.59,4.1205,3.33,3.7253,-1.1299,-25.3731,74.6269,-0.6329,False,-27.5362,3.6656
2024-10-17,LTRN,3.450000047683716,3.49399995803833,3.109999895095825,3.390000104904175,54400,3.6913,3.876,34.29,4.0785,3.304,3.6913,-3.1429,-27.7185,72.2815,0.6647,False,-29.8137,3.6684
2024-10-18,LTRN,3.3499999046325684,3.5,3.3499999046325684,3.440000057220459,17100,3.6638,3.8602,40.17,4.0396,3.2879,3.6638,1.4749,-26.6525,73.3475,-1.2621,False,-28.7785,3.6533
2024-10-21,LTRN,3.509999990463257,3.509999990463257,3.2100000381469727,3.359999895095825,22400,3.6343,3.8493,32.76,4.0082,3.2603,3.6343,-2.3256,-28.3582,71.6418,-0.9684,False,-30.4348,3.6532
2024-10-22,LTRN,3.299999952316284,3.5,3.119999885559082,3.390000104904175,49300,3.6018,3.8399,35.96,3.9383,3.2652,3.6018,0.8929,-27.7185,72.2815,0.5561,False,-29.8137,3.5687
2024-10-23,LTRN,3.319999933242798,3.400000095367432,3.190000057220459,3.369999885559082,22100,3.5743,3.8279,39.05,3.8906,3.2579,3.5743,-0.59,-28.145,71.855,-0.9545,False,-30.2277,2.9096
2024-10-24,LTRN,3.369999885559082,3.48799991607666,3.2300000190734863,3.450000047683716,27000,3.5548,3.8181,33.33,3.8494,3.2601,3.5548,2.3739,-26.4392,73.5608,-0.6174,False,-28.5714,2.9236
2024-10-25,LTRN,3.400000095367432,3.4600000381469727,3.200000047683716,3.3399999141693115,31900,3.533,3.7991,31.07,3.8234,3.2426,3.533,-3.1884,-28.7847,71.2153,-0.2589,False,-30.8489,2.7122
